P_SR_LABELED_LIST;LabeledListPM 70
S_SR_CODE_REF;CodeRefPM 71
P_SR_ACTIONS_MULTI_OBS_BEHAVIOR;ActionsMultiPM 72
P_SR_LABELED_PARAGRAPH;LabeledParagraphPM 73
P_SR_SIMPLE_PAST;SimplePastParagraphPM 74
P_SR_COND_SEQUENCE;ConditionalSequenceParagrahPM 75
P_SR_CONTINOUS_PRESENT_PAST;ContinuousPresentPastPM 76
S_SR_TRY;TrySentencePM 77
S_SR_MENU_NAV;MenuNavigationPM 78
S_SR_IMPERATIVE_SUBORDINATES;ImperativeSubordinatesPM 79
S_SR_SIMPLE_PRESENT_SUBORDINATES;SimplePresentSubordinatesPM 80
S_SR_MENU_SELECT;MenuSelectPM 81
S_SR_TRIGGERS;TriggerSentencePM 82
P_SR_HAVE_SEQUENCE;HaveSequencePM 83
S_SR_WHEN_AFTER;WhenAfterSentencePM 84
P_SR_ACTIONS_PRESENT;ActionsPresentPM 85
P_SR_ACTIONS_PAST;ActionsPastPM 86
S_SR_ACTIONS_SEPARATOR;ActionsSeparatorPM 87
P_SR_TO_REPRO;ToReproParagraphPM 88
S_SR_COND_THEN_SEQ;ConditionalThenSequencePM 90
S_SR_AFTER;AfterPM 128
P_SR_ACTIONS_INF;ActionsInfinitivePM 141
S_SR_SIMPLE_PAST;SimplePastPM 144
S_SR_IMPERATIVE_SEQUENCE;ImperativeSequencePM 148
S_SR_PURPOSE_ACTION;PurposeActionPM 150
S_SR_CONTINOUS_PRESENT;ContinuousPresentSentencePM 151
S_SR_BY_ACTION;ByActionPM 152
S_SR_ACTIONS_PRESENT_PERFECT;ActionsPresentPerfectPM 159
P_SR_COND_CODE;ConditionalCodeParagraphPM 162
S_SR_COND_SEQUENCE;ConditionalSequencePM 163
P_SR_LABELED_CODE_FRAGS;LabeledCodeFragmentsPM 164
S_SR_COND_OBS;ConditionalObservedBehaviorPM 165